,Nbrpieces,Nbr_salle_deB,superficie,addresse
214,4,2,200,"Rufisque, Sénégal"
216,5,4,200,"Yoff, Dakar, Sénégal"
217,3,2,100,"Dakar, Sénégal"
219,2,1,150,"Dieuppeul-Derklé, Dakar, Sénégal"
221,4,4,100,"Sicap Liberté, Dakar, Sénégal"
222,4,4,245,"Ouakam, Dakar, Sénégal"
223,3,2,70,"Mermoz-Sacré Coeur, Dakar, Sénégal"
226,3,1,150,"Keur Massar, Sénégal"
228,5,4,175,"Yoff, Dakar, Sénégal"
229,4,3,147,"Almadies, Dakar, Sénégal"
241,3,3,140,"Mermoz-Sacré Coeur, Dakar, Sénégal"
242,4,4,200,"Fann, Dakar, Sénégal"
243,2,1,150,"Ouest Foire, Dakar, Sénégal"
244,3,1,150,"Ouest Foire, Dakar, Sénégal"
254,4,2,105,"Dakar, Sénégal"
255,4,2,170,"Ngaparou, Sénégal"
256,3,4,100,"Patte d'oie, Dakar, Sénégal"
257,4,3,140,"Point E, Dakar, Sénégal"
265,3,2,100,"Mbao, Dakar, Sénégal"
267,4,4,210,"Ouakam, Dakar, Sénégal"
268,3,2,128,"Mermoz-Sacré Coeur, Dakar, Sénégal"
271,1,1,50,"Dieuppeul-Derklé, Dakar, Sénégal"
274,2,1,250,"Ouakam, Dakar, Sénégal"
275,4,4,21,"Mamelles, Dakar, Sénégal"
276,4,4,290,"Fann, Dakar, Sénégal"
279,3,2,150,"Parcelle Assainies, Dakar, Sénégal"
283,3,3,153,"Sacré-Coeur, Dakar, Sénégal"
284,5,5,298,"Mermoz-Sacré Coeur, Dakar, Sénégal"
285,4,4,198,"Mamelles, Dakar, Sénégal"
288,3,2,150,"Ouakam, Dakar, Sénégal"
289,4,4,280,"Mamelles, Dakar, Sénégal"
292,3,3,150,"Almadies, Dakar, Sénégal"
294,2,1,250,"Mamelles, Dakar, Sénégal"
295,3,3,11,"Almadies, Dakar, Sénégal"
296,4,4,210,"Mamelles, Dakar, Sénégal"
297,3,2,11,"Dakar, Sénégal"
299,5,3,180,"Almadies, Dakar, Sénégal"
304,3,2,145,"Ngor, Dakar, Sénégal"
305,4,4,162,"Ngor, Dakar, Sénégal"
306,2,2,100,"Cambérène, Dakar, Sénégal"
308,4,4,11,"Mamelles, Dakar, Sénégal"
309,3,2,11,"Dakar, Sénégal"
312,3,1,100,"Sacré-Coeur, Dakar, Sénégal"
315,4,2,140,"Dakar, Sénégal"
316,10,3,200,"Point E, Dakar, Sénégal"
317,4,4,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
320,3,3,11,"Almadies, Dakar, Sénégal"
321,4,4,11,"Mamelles, Dakar, Sénégal"
322,4,4,200,"Mamelles, Dakar, Sénégal"
323,6,5,240,"Yoff, Dakar, Sénégal"
324,6,4,300,"Almadies, Dakar, Sénégal"
325,4,5,200,"Dakar, Sénégal"
326,4,2,100,"Sacré-Coeur, Dakar, Sénégal"
327,4,4,200,"Dakar Plateau, Dakar, Sénégal"
328,4,2,140,"Ouakam, Dakar, Sénégal"
334,4,4,129,"Mamelles, Dakar, Sénégal"
335,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
337,6,3,102,"Rufisque, Sénégal"
338,4,2,140,"Mamelles, Dakar, Sénégal"
339,3,2,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
341,4,4,200,"Ouakam, Dakar, Sénégal"
342,4,4,181,"Yoff, Dakar, Sénégal"
343,3,2,90,"Yoff, Dakar, Sénégal"
344,2,1,125,"Sicap foire, Dakar, Sénégal"
347,4,4,12,"Mamelles, Dakar, Sénégal"
350,3,3,200,"Almadies, Dakar, Sénégal"
351,3,3,105,"Yoff, Dakar, Sénégal"
352,3,3,120,"Ngor, Dakar, Sénégal"
353,4,3,147,"Almadies, Dakar, Sénégal"
354,3,3,12,"Almadies, Dakar, Sénégal"
358,3,3,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
359,3,4,150,"Yoff, Dakar, Sénégal"
360,3,4,150,"Yoff, Dakar, Sénégal"
371,3,2,150,"Guediawaye, Dakar, Sénégal"
372,2,2,1,"Mamelles, Dakar, Sénégal"
373,3,3,12,"Dakar Plateau, Dakar, Sénégal"
375,2,2,55,"Mermoz-Sacré Coeur, Dakar, Sénégal"
376,4,3,150,"Point E, Dakar, Sénégal"
377,4,4,210,"Point E, Dakar, Sénégal"
379,3,1,150,"Dakar, Sénégal"
381,1,1,40,"Ouest Foire, Dakar, Sénégal"
382,3,2,110,"Mamelles, Dakar, Sénégal"
384,4,4,200,"Dakar Plateau, Dakar, Sénégal"
386,4,3,160,"Mbao, Dakar, Sénégal"
387,3,3,200,"Almadies, Dakar, Sénégal"
389,5,4,214,"Fass, Dakar, Sénégal"
390,5,4,175,"Yoff, Dakar, Sénégal"
391,3,4,250,"Point E, Dakar, Sénégal"
392,4,4,11,"Dakar Plateau, Dakar, Sénégal"
393,3,3,150,"Point E, Dakar, Sénégal"
397,3,1,150,"Keur Massar, Sénégal"
400,4,3,160,"Mamelles, Dakar, Sénégal"
401,4,3,130,"Mariste, Dakar, Sénégal"
405,4,3,1111,"Fann-Point E-Amitié, Dakar, Sénégal"
406,3,2,107,"Point E, Dakar, Sénégal"
408,3,2,150,"Rufisque, Sénégal"
409,3,3,12,"Almadies, Dakar, Sénégal"
410,4,4,12,"Dakar Plateau, Dakar, Sénégal"
413,4,3,180,"Point E, Dakar, Sénégal"
421,3,2,190,"Ouakam, Dakar, Sénégal"
424,3,4,200,"Almadies, Dakar, Sénégal"
425,4,3,165,"Dakar, Sénégal"
432,4,3,12,"Sicap Liberté, Dakar, Sénégal"
433,4,3,12,"Almadies, Dakar, Sénégal"
437,4,3,140,"Almadies, Dakar, Sénégal"
438,5,5,240,"Yoff, Dakar, Sénégal"
441,5,5,240,"Yoff, Dakar, Sénégal"
445,4,4,220,"Mamelles, Dakar, Sénégal"
446,3,2,160,"Dakar, Sénégal"
449,2,2,150,"Almadies, Dakar, Sénégal"
450,6,5,250,"Yoff, Dakar, Sénégal"
452,4,3,12,"Sacré-Coeur, Dakar, Sénégal"
453,3,2,12,"Almadies, Dakar, Sénégal"
454,8,4,250,"Almadies, Dakar, Sénégal"
456,4,3,12,"Almadies, Dakar, Sénégal"
457,4,3,200,"Almadies, Dakar, Sénégal"
458,3,2,90,"Mermoz-Sacré Coeur, Dakar, Sénégal"
459,4,2,140,"Ouakam, Dakar, Sénégal"
460,2,2,65,"Almadies, Dakar, Sénégal"
461,2,2,65,"Almadies, Dakar, Sénégal"
466,4,3,12,"Almadies, Dakar, Sénégal"
467,4,2,12,"Sacré-Coeur, Dakar, Sénégal"
468,4,4,150,"Fass, Dakar, Sénégal"
471,4,2,12,"Sacré-Coeur, Dakar, Sénégal"
473,4,4,155,"Yoff, Dakar, Sénégal"
475,4,3,137,"Dakar Plateau, Dakar, Sénégal"
476,3,4,140,"Mermoz-Sacré Coeur, Dakar, Sénégal"
477,4,4,200,"Point E, Dakar, Sénégal"
479,3,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
480,4,3,150,"Rufisque, Sénégal"
481,4,3,145,"Point E, Dakar, Sénégal"
482,5,5,200,"Sipres, Dakar, Sénégal"
493,4,3,12,"Almadies, Dakar, Sénégal"
494,4,2,12,"Sacré-Coeur, Dakar, Sénégal"
495,3,4,200,"Hann Bel-Air, Dakar, Sénégal"
498,3,1,150,"Mamelles, Dakar, Sénégal"
501,3,2,120,"Saly, Sénégal"
504,3,2,150,"Rufisque, Sénégal"
510,4,2,100,"Dakar, Sénégal"
511,4,3,12,"Almadies, Dakar, Sénégal"
513,3,2,200,"Keur Massar, Sénégal"
518,4,4,168,"Sicap Liberté, Dakar, Sénégal"
519,5,5,300,"Ouakam, Dakar, Sénégal"
522,4,5,150,"Ouakam, Dakar, Sénégal"
524,3,2,91,"Mermoz-Sacré Coeur, Dakar, Sénégal"
525,2,2,45,"Ouakam, Dakar, Sénégal"
526,2,1,12,"Dakar Plateau, Dakar, Sénégal"
