,Nbrpieces,Nbr_salle_deB,superficie,addresse
936,3,3,1,"Almadies, Dakar, Sénégal"
937,1,1,60,"Almadies, Dakar, Sénégal"
938,3,2,95,"Mbao, Dakar, Sénégal"
939,3,3,150,"Sicap foire, Dakar, Sénégal"
942,3,3,200,"Mariste, Dakar, Sénégal"
943,3,2,150,"Dakar, Sénégal"
948,3,2,95,"Mbao, Dakar, Sénégal"
949,4,4,140,"Sicap Liberté, Dakar, Sénégal"
950,4,4,150,"Ouest Foire, Dakar, Sénégal"
951,4,3,250,"Fann, Dakar, Sénégal"
952,2,2,55,"Ouest Foire, Dakar, Sénégal"
953,3,2,1,"Dakar, Sénégal"
955,4,3,175,"Point E, Dakar, Sénégal"
956,4,3,190,"Point E, Dakar, Sénégal"
957,2,2,150,"Rufisque, Sénégal"
958,4,5,190,"Yoff, Dakar, Sénégal"
959,4,4,200,"Yoff, Dakar, Sénégal"
960,3,2,150,"Dakar, Sénégal"
966,5,3,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
967,3,2,150,"Mamelles, Dakar, Sénégal"
972,2,2,130,"Sicap Liberté, Dakar, Sénégal"
973,4,4,400,"Almadies, Dakar, Sénégal"
974,4,3,198,"Point E, Dakar, Sénégal"
978,3,2,120,"Sicap Liberté, Dakar, Sénégal"
979,4,4,175,"Ouakam, Dakar, Sénégal"
983,2,2,85,"Point E, Dakar, Sénégal"
984,4,4,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
985,4,3,180,"Fann, Dakar, Sénégal"
986,4,4,180,"Point E, Dakar, Sénégal"
987,4,4,180,"Yoff, Dakar, Sénégal"
988,5,4,175,"Yoff, Dakar, Sénégal"
989,5,5,400,"Yoff, Dakar, Sénégal"
990,8,4,220,"Almadies, Dakar, Sénégal"
992,3,2,120,"Yoff, Dakar, Sénégal"
993,2,1,40,"Diamniadio, Sénégal"
994,5,6,350,"Yoff, Dakar, Sénégal"
997,4,2,150,"Saly, Sénégal"
998,4,4,156,"Sicap foire, Dakar, Sénégal"
1000,4,4,300,"Yoff, Dakar, Sénégal"
1001,2,2,150,"Sicap Liberté, Dakar, Sénégal"
1002,3,2,160,"Ngaparou, Sénégal"
1003,4,4,200,"Gueule Tapée, Dakar, Sénégal"
1005,2,2,55,"Ouest Foire, Dakar, Sénégal"
1006,2,2,80,"Ouakam, Dakar, Sénégal"
1008,3,2,100,"Damel, Dakar, Sénégal"
1009,3,3,220,"Point E, Dakar, Sénégal"
1010,4,4,150,"Point E, Dakar, Sénégal"
1011,4,5,216,"Point E, Dakar, Sénégal"
1012,4,3,150,"Rufisque, Sénégal"
1015,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1019,4,5,216,"Point E, Dakar, Sénégal"
1020,5,4,214,"Fass, Dakar, Sénégal"
1024,4,3,200,"Dakar, Sénégal"
1025,4,1,150,"Dakar, Sénégal"
1026,6,3,217,"Almadies, Dakar, Sénégal"
1027,3,2,100,"Point E, Dakar, Sénégal"
1028,4,3,200,"Dakar Plateau, Dakar, Sénégal"
1029,3,2,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1030,4,4,160,"Fass, Dakar, Sénégal"
1031,4,5,200,"Dakar, Sénégal"
1032,4,4,230,"Yoff, Dakar, Sénégal"
1033,4,4,230,"Yoff, Dakar, Sénégal"
1034,4,4,160,"Fass, Dakar, Sénégal"
1035,3,3,130,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1037,4,1,120,"Sicap Liberté, Dakar, Sénégal"
1038,3,3,150,"Rufisque, Sénégal"
1039,2,2,80,"Grand Dakar, Dakar, Sénégal"
1040,4,3,150,"Mamelles, Dakar, Sénégal"
1046,3,3,203,"Almadies, Dakar, Sénégal"
1047,3,3,147,"Point E, Dakar, Sénégal"
1048,3,2,110,"Almadies, Dakar, Sénégal"
1049,4,3,150,"Ouakam, Dakar, Sénégal"
1050,4,2,112,"Diamniadio, Sénégal"
1052,4,4,200,"Almadies, Dakar, Sénégal"
1055,4,4,240,"Dakar Plateau, Dakar, Sénégal"
1056,3,2,150,"Ngor, Dakar, Sénégal"
1059,3,2,150,"Mamelles, Dakar, Sénégal"
1060,3,2,150,"Mamelles, Dakar, Sénégal"
1062,4,3,117,"Yoff, Dakar, Sénégal"
1063,3,2,150,"Rufisque, Sénégal"
1066,6,3,235,"Diamniadio, Sénégal"
1067,2,2,1,"Sicap Liberté, Dakar, Sénégal"
1068,3,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1071,4,4,170,"Almadies, Dakar, Sénégal"
1072,4,4,170,"Mamelles, Dakar, Sénégal"
1073,4,4,200,"Mamelles, Dakar, Sénégal"
1074,5,5,235,"Yoff, Dakar, Sénégal"
1075,4,4,169,"Dakar, Sénégal"
1077,4,2,150,"Rufisque, Sénégal"
1080,3,3,153,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1086,4,3,187,"Mariste, Dakar, Sénégal"
1087,3,3,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1089,4,2,150,"Rufisque, Sénégal"
1091,3,3,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1093,3,3,127,"Ouest Foire, Dakar, Sénégal"
1096,4,3,137,"Mamelles, Dakar, Sénégal"
1097,4,5,190,"Yoff, Dakar, Sénégal"
1100,4,3,100,"Almadies 2, Dakar, Sénégal"
1101,4,4,198,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1102,4,2,150,"Dakar, Sénégal"
1103,3,2,150,"Dakar, Sénégal"
1105,4,3,175,"Mariste, Dakar, Sénégal"
1106,5,3,175,"Mariste, Dakar, Sénégal"
1107,4,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1118,5,4,12,"Dakar Plateau, Dakar, Sénégal"
1119,4,4,165,"Almadies, Dakar, Sénégal"
1122,2,2,100,"Mamelles, Dakar, Sénégal"
1126,4,4,160,"Ngor, Dakar, Sénégal"
1128,3,2,50,"Ouakam, Dakar, Sénégal"
1131,2,1,100,"Sicap Liberté, Dakar, Sénégal"
1134,5,4,140,"Almadies, Dakar, Sénégal"
1140,4,2,250,"Ouakam, Dakar, Sénégal"
1141,3,2,80,"Mbao, Dakar, Sénégal"
1142,4,3,130,"Sicap Liberté, Dakar, Sénégal"
1145,2,2,110,"Ngaparou, Sénégal"
1146,5,4,200,"Yoff, Dakar, Sénégal"
1158,3,1,1,"Guediawaye, Dakar, Sénégal"
1159,3,2,21,"Dakar Plateau, Dakar, Sénégal"
1160,3,2,150,"Pikine, Sénégal"
1164,4,3,150,"Sipres, Dakar, Sénégal"
1167,2,2,65,"Point E, Dakar, Sénégal"
1168,3,1,1,"Mamelles, Dakar, Sénégal"
1169,4,3,200,"Yoff, Dakar, Sénégal"
1170,4,4,12,"Dakar Plateau, Dakar, Sénégal"
1171,3,2,12,"Dakar Plateau, Dakar, Sénégal"
1173,3,2,175,"Mamelles, Dakar, Sénégal"
1174,4,4,150,"Rufisque, Sénégal"
1176,2,1,107,"Almadies, Dakar, Sénégal"
1178,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1179,3,2,175,"Mamelles, Dakar, Sénégal"
1180,3,2,100,"Yoff, Dakar, Sénégal"
1181,3,2,120,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1182,3,2,140,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1185,2,2,75,"Almadies, Dakar, Sénégal"
1186,4,3,200,"Dakar Plateau, Dakar, Sénégal"
1189,4,5,210,"Almadies, Dakar, Sénégal"
1191,5,3,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1193,2,1,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1194,4,4,160,"Yoff, Dakar, Sénégal"
1197,5,4,12,"Almadies, Dakar, Sénégal"
1199,2,2,1,"Almadies, Dakar, Sénégal"
1200,2,1,40,"Mbour, Sénégal"
1201,4,5,190,"Yoff, Dakar, Sénégal"
1202,5,4,12,"Almadies, Dakar, Sénégal"
1204,3,2,110,"Dakar, Sénégal"
1206,4,4,12,"Dakar Plateau, Dakar, Sénégal"
1207,3,2,150,"Sicap Liberté, Dakar, Sénégal"
1209,9,4,240,"Almadies, Dakar, Sénégal"
1211,4,2,150,"Dakar, Sénégal"
1212,4,2,150,"Dakar, Sénégal"
1213,3,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1214,3,4,175,"Almadies, Dakar, Sénégal"
1215,4,5,12,"Almadies, Dakar, Sénégal"
1216,1,1,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1217,5,2,200,"Ouest Foire, Dakar, Sénégal"
1218,5,4,125,"Dakar, Sénégal"
1231,3,2,93,"Almadies, Dakar, Sénégal"
1234,3,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1235,5,5,12,"Almadies, Dakar, Sénégal"
1236,4,3,137,"Sipres, Dakar, Sénégal"
1239,3,2,150,"Mariste, Dakar, Sénégal"
1240,4,3,150,"Mamelles, Dakar, Sénégal"
1242,5,5,290,"Almadies, Dakar, Sénégal"
1243,3,3,130,"Yoff, Dakar, Sénégal"
1244,4,5,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1246,6,5,284,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1247,4,4,200,"Yoff, Dakar, Sénégal"
1248,5,3,220,"Sicap Liberté, Dakar, Sénégal"
1249,4,4,450,"Ngor, Dakar, Sénégal"
1250,3,2,149,"Fass, Dakar, Sénégal"
1253,2,2,70,"Mariste, Dakar, Sénégal"
1254,4,3,130,"Mariste, Dakar, Sénégal"
1255,2,2,105,"Point E, Dakar, Sénégal"
1256,4,2,150,"Almadies 2, Dakar, Sénégal"
1261,3,2,150,"Ouest Foire, Dakar, Sénégal"
1262,3,1,30,"Thies, Sénégal"
1263,5,4,284,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1264,4,3,180,"Ngor, Dakar, Sénégal"
1265,6,5,240,"Almadies, Dakar, Sénégal"
1267,3,2,150,"Ouest Foire, Dakar, Sénégal"
1268,5,4,200,"Yoff, Dakar, Sénégal"
1269,1,1,100,"Sicap foire, Dakar, Sénégal"
1275,4,4,225,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1276,4,3,12,"Almadies, Dakar, Sénégal"
1277,2,3,110,"Sicap Liberté, Dakar, Sénégal"
1278,1,2,100,"Dakar, Sénégal"
1279,5,5,12,"Almadies, Dakar, Sénégal"
1281,4,3,180,"Mamelles, Dakar, Sénégal"
1283,4,3,170,"Mamelles, Dakar, Sénégal"
1284,4,2,1,"Guediawaye, Dakar, Sénégal"
1285,3,3,100,"Dakar, Sénégal"
1286,4,2,135,"Almadies, Dakar, Sénégal"
1287,4,2,150,"Guediawaye, Dakar, Sénégal"
1288,4,4,139,"Almadies, Dakar, Sénégal"
1289,4,4,139,"Almadies, Dakar, Sénégal"
1290,5,5,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1291,3,2,70,"Damel, Dakar, Sénégal"
1292,5,5,200,"Yoff, Dakar, Sénégal"
1293,3,2,100,"Grand Yoff, Dakar, Sénégal"
1294,4,3,230,"Dakar Plateau, Dakar, Sénégal"
1306,5,4,201,"Dakar, Sénégal"
1307,2,2,55,"Ouest Foire, Dakar, Sénégal"
1308,3,3,106,"Sacré-Coeur, Dakar, Sénégal"
1319,4,4,210,"Almadies, Dakar, Sénégal"
1322,4,3,12,"Almadies, Dakar, Sénégal"
1323,5,5,12,"Almadies, Dakar, Sénégal"
1324,1,2,250,"Ouakam, Dakar, Sénégal"
1325,3,3,98,"Mamelles, Dakar, Sénégal"
1326,4,4,175,"Mamelles, Dakar, Sénégal"
1327,4,4,200,"Mamelles, Dakar, Sénégal"
1328,3,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1330,4,4,200,"Ngor, Dakar, Sénégal"
1334,5,4,175,"Yoff, Dakar, Sénégal"
1335,4,4,204,"Almadies, Dakar, Sénégal"
1336,4,4,200,"Dakar Plateau, Dakar, Sénégal"
1337,4,3,150,"Rufisque, Sénégal"
1338,3,2,120,"Ouakam, Dakar, Sénégal"
1340,3,2,150,"Keur Massar, Sénégal"
1343,4,4,243,"Point E, Dakar, Sénégal"
1344,4,3,200,"Almadies, Dakar, Sénégal"
1351,3,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1352,3,2,125,"Mamelles, Dakar, Sénégal"
1354,4,5,12,"Mamelles, Dakar, Sénégal"
1355,5,3,180,"Yoff, Dakar, Sénégal"
1356,4,3,145,"Ngor, Dakar, Sénégal"
1359,5,4,180,"Yoff, Dakar, Sénégal"
1360,4,4,196,"Almadies, Dakar, Sénégal"
1362,2,1,50,"Thies, Sénégal"
1363,3,2,200,"Ouakam, Dakar, Sénégal"
1364,4,3,12,"Dakar Plateau, Dakar, Sénégal"
1365,4,2,150,"Ouakam, Dakar, Sénégal"
1366,6,8,400,"Mamelles, Dakar, Sénégal"
1367,7,3,150,"Keur Massar, Sénégal"
1368,7,2,150,"Keur Massar, Sénégal"
1369,3,2,120,"Saly, Sénégal"
1370,4,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1371,7,2,150,"Keur Massar, Sénégal"
1376,5,2,90,"Dakar, Sénégal"
1377,4,4,150,"Yoff, Dakar, Sénégal"
1379,11,5,250,"Keur Massar, Sénégal"
1380,7,2,250,"Keur Massar, Sénégal"
1381,3,4,200,"Sacré-Coeur, Dakar, Sénégal"
1382,4,4,12,"Dakar Plateau, Dakar, Sénégal"
1384,3,3,150,"Colobane, Dakar, Sénégal"
1385,3,2,100,"Mbour, Sénégal"
1386,4,2,140,"Almadies, Dakar, Sénégal"
1388,2,2,75,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1389,4,3,150,"Dakar, Sénégal"
1390,6,2,250,"Keur Massar, Sénégal"
1391,6,2,250,"Keur Massar, Sénégal"
1393,5,4,150,"Yoff, Dakar, Sénégal"
1394,4,4,250,"Almadies, Dakar, Sénégal"
1395,4,2,280,"Yoff, Dakar, Sénégal"
1396,5,5,400,"Fann, Dakar, Sénégal"
1400,3,2,120,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1401,4,4,145,"Sacré-Coeur, Dakar, Sénégal"
1402,3,3,115,"Yoff, Dakar, Sénégal"
1403,3,2,153,"Sacré-Coeur, Dakar, Sénégal"
1404,3,3,150,"Fann, Dakar, Sénégal"
1405,4,4,120,"Mamelles, Dakar, Sénégal"
1409,4,3,182,"Almadies, Dakar, Sénégal"
1410,4,4,180,"Yoff, Dakar, Sénégal"
1413,2,1,89,"Dakar, Sénégal"
1414,5,4,214,"Fass, Dakar, Sénégal"
1415,5,5,12,"Almadies, Dakar, Sénégal"
1416,5,5,200,"Yoff, Dakar, Sénégal"
1417,3,4,200,"Point E, Dakar, Sénégal"
1420,4,5,210,"Almadies, Dakar, Sénégal"
1421,4,4,298,"Almadies, Dakar, Sénégal"
1422,3,2,120,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1423,4,4,269,"Almadies, Dakar, Sénégal"
1428,5,5,237,"Point E, Dakar, Sénégal"
1430,3,2,150,"Keur Massar, Sénégal"
1431,2,2,150,"Keur Massar, Sénégal"
1433,4,3,120,"Dakar, Sénégal"
1434,5,4,180,"Yoff, Dakar, Sénégal"
1435,4,3,165,"Dakar, Sénégal"
1436,7,2,150,"Keur Massar, Sénégal"
1441,3,2,145,"Dakar, Sénégal"
1444,4,4,70,"Sipres, Dakar, Sénégal"
1445,2,2,55,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1446,5,3,200,"Diamalaye 1, Dakar, Sénégal"
1448,3,4,180,"Yoff, Dakar, Sénégal"
1449,4,4,250,"Fann, Dakar, Sénégal"
1450,4,4,160,"Point E, Dakar, Sénégal"
1452,4,4,250,"Mamelles, Dakar, Sénégal"
1453,3,2,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1454,4,3,150,"Ouakam, Dakar, Sénégal"
1455,4,4,12,"Almadies, Dakar, Sénégal"
1457,3,2,100,"Mamelles, Dakar, Sénégal"
1459,4,2,130,"Almadies, Dakar, Sénégal"
1460,3,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1461,4,5,310,"Almadies, Dakar, Sénégal"
1462,5,6,250,"Almadies, Dakar, Sénégal"
1463,3,2,1,"Mamelles, Dakar, Sénégal"
1466,4,3,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1467,9,4,180,"Almadies, Dakar, Sénégal"
1468,9,4,230,"Almadies, Dakar, Sénégal"
1469,2,2,120,"Ouest Foire, Dakar, Sénégal"
1470,3,3,150,"Hann Bel-Air, Dakar, Sénégal"
1472,4,4,250,"Ngor, Dakar, Sénégal"
1473,3,2,80,"Sacré-Coeur, Dakar, Sénégal"
1474,3,3,80,"Sacré-Coeur, Dakar, Sénégal"
1475,4,3,200,"Rufisque, Sénégal"
1476,2,1,70,"Grand Yoff, Dakar, Sénégal"
1478,3,3,100,"Dakar, Sénégal"
1479,4,3,200,"Sipres, Dakar, Sénégal"
1482,4,3,140,"Mamelles, Dakar, Sénégal"
1486,3,2,150,"Mamelles, Dakar, Sénégal"
1488,2,2,1,"Almadies, Dakar, Sénégal"
1489,4,4,90,"Mamelles, Dakar, Sénégal"
1490,4,2,1,"Dieuppeul-Derklé, Dakar, Sénégal"
1500,4,4,150,"Yoff, Dakar, Sénégal"
1501,4,2,135,"Almadies, Dakar, Sénégal"
1502,5,4,192,"Mamelles, Dakar, Sénégal"
1503,4,4,200,"Almadies, Dakar, Sénégal"
1504,4,4,150,"Sicap Liberté, Dakar, Sénégal"
1506,4,2,150,"Mbao, Dakar, Sénégal"
1507,2,1,75,"Pikine, Sénégal"
1508,4,3,140,"Mamelles, Dakar, Sénégal"
1510,4,4,180,"Mamelles, Dakar, Sénégal"
1511,4,3,180,"Almadies, Dakar, Sénégal"
1512,4,4,152,"Almadies, Dakar, Sénégal"
1514,4,3,120,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1515,3,2,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1516,4,2,150,"Dakar, Sénégal"
1519,4,2,140,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1520,4,4,180,"Mamelles, Dakar, Sénégal"
1521,4,2,500,"Ouakam, Dakar, Sénégal"
1522,4,4,250,"Fann, Dakar, Sénégal"
1523,4,4,200,"Sipres, Dakar, Sénégal"
1524,3,2,100,"Damel, Dakar, Sénégal"
1525,4,4,170,"Fass, Dakar, Sénégal"
1527,4,1,150,"Ouakam, Dakar, Sénégal"
1528,4,1,150,"Ouakam, Dakar, Sénégal"
1531,6,2,150,"Yoff, Dakar, Sénégal"
1532,3,1,170,"Mariste, Dakar, Sénégal"
1536,4,4,500,"Almadies, Dakar, Sénégal"
1537,4,4,156,"Yoff, Dakar, Sénégal"
1538,8,7,250,"Hann Bel-Air, Dakar, Sénégal"
1542,3,3,150,"Sicap Liberté, Dakar, Sénégal"
1544,2,2,75,"Ouakam, Dakar, Sénégal"
1545,5,5,240,"Yoff, Dakar, Sénégal"
1547,5,5,300,"Dakar Plateau, Dakar, Sénégal"
1550,3,2,100,"Mamelles, Dakar, Sénégal"
1558,3,1,100,"Mariste, Dakar, Sénégal"
1570,4,4,190,"Ngor, Dakar, Sénégal"
1572,4,4,116,"Dakar, Sénégal"
1575,3,1,90,"Patte d'oie, Dakar, Sénégal"
1578,5,5,12,"Almadies, Dakar, Sénégal"
1579,4,1,150,"Ngor, Dakar, Sénégal"
1583,4,4,350,"Almadies, Dakar, Sénégal"
1584,4,4,190,"Mamelles, Dakar, Sénégal"
1585,4,4,180,"Mamelles, Dakar, Sénégal"
1588,4,3,180,"Yoff, Dakar, Sénégal"
1591,4,2,150,"Keur Massar, Sénégal"
1592,3,4,152,"Sicap Liberté, Dakar, Sénégal"
1594,4,4,250,"Almadies, Dakar, Sénégal"
1597,3,2,75,"Grand Yoff, Dakar, Sénégal"
1598,4,1,90,"Ouakam, Dakar, Sénégal"
1599,4,3,1,"Ngor, Dakar, Sénégal"
1600,4,4,250,"Almadies, Dakar, Sénégal"
1601,4,4,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1604,4,3,100,"Sicap Liberté, Dakar, Sénégal"
1606,5,5,2500000,"Almadies, Dakar, Sénégal"
1607,4,4,250,"Ouest Foire, Dakar, Sénégal"
1608,4,3,200,"Yoff, Dakar, Sénégal"
1614,5,5,220,"Almadies, Dakar, Sénégal"
1621,2,1,90,"Ouest Foire, Dakar, Sénégal"
1622,4,4,180,"Yoff, Dakar, Sénégal"
1623,4,4,180,"Yoff, Dakar, Sénégal"
1624,4,4,156,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1625,3,2,200,"Almadies, Dakar, Sénégal"
1626,5,3,300,"Almadies, Dakar, Sénégal"
1628,2,2,1,"Almadies, Dakar, Sénégal"
1629,4,3,1,"Ngor, Dakar, Sénégal"
1630,4,4,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1632,4,2,310,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1633,4,4,140,"Point E, Dakar, Sénégal"
1634,3,2,98,"Mamelles, Dakar, Sénégal"
1642,4,3,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1643,3,1,100,"Patte d'oie, Dakar, Sénégal"
1644,5,5,300,"Almadies, Dakar, Sénégal"
1646,2,2,90,"Ouest Foire, Dakar, Sénégal"
1647,2,2,167,"Mbao, Dakar, Sénégal"
1649,4,3,165,"Mbao, Dakar, Sénégal"
1650,2,2,100,"Sicap foire, Dakar, Sénégal"
1651,4,4,170,"Point E, Dakar, Sénégal"
1652,3,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1653,8,4,180,"Almadies, Dakar, Sénégal"
1654,3,2,110,"Mamelles, Dakar, Sénégal"
1655,4,4,172,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1656,2,1,145,"Almadies, Dakar, Sénégal"
1657,3,2,100,"Dakar, Sénégal"
1659,2,1,775106767,"Mamelles, Dakar, Sénégal"
1660,2,2,92,"Point E, Dakar, Sénégal"
1662,4,3,180,"Yoff, Dakar, Sénégal"
1663,5,5,314,"Point E, Dakar, Sénégal"
1664,5,4,1,"Almadies, Dakar, Sénégal"
1666,2,1,12,"Dakar Plateau, Dakar, Sénégal"
1668,5,5,12,"Dakar Plateau, Dakar, Sénégal"
1670,3,1,90,"Ouakam, Dakar, Sénégal"
1672,2,2,25,"Sacré-Coeur, Dakar, Sénégal"
1675,4,3,120,"Diamniadio, Sénégal"
1676,4,3,150,"Ngor, Dakar, Sénégal"
1678,4,3,284,"Ngor, Dakar, Sénégal"
1681,4,3,150,"Ngor, Dakar, Sénégal"
1685,5,4,176,"Damel, Dakar, Sénégal"
1686,4,4,150,"Point E, Dakar, Sénégal"
1689,2,1,21,"Dakar Plateau, Dakar, Sénégal"
1696,5,5,12,"Dakar Plateau, Dakar, Sénégal"
1697,2,2,72,"Sicap Liberté, Dakar, Sénégal"
1698,3,2,75,"Almadies 2, Dakar, Sénégal"
1701,5,5,12,"Dakar Plateau, Dakar, Sénégal"
1702,4,4,12,"Dakar Plateau, Dakar, Sénégal"
1703,4,4,170,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1704,5,5,225,"Yoff, Dakar, Sénégal"
1705,4,4,200,"Dakar, Sénégal"
1706,4,4,150,"Yoff, Dakar, Sénégal"
1707,3,2,1,"Sipres, Dakar, Sénégal"
1709,3,2,150,"Rufisque, Sénégal"
1711,3,1,80,"Ouakam, Dakar, Sénégal"
1712,4,4,150,"Dakar, Sénégal"
1713,6,5,250,"Point E, Dakar, Sénégal"
1719,3,3,1,"Yoff, Dakar, Sénégal"
1720,4,4,12,"Dakar Plateau, Dakar, Sénégal"
1721,5,5,12,"Dakar Plateau, Dakar, Sénégal"
1723,2,1,55,"Medina, Dakar, Sénégal"
1726,4,3,200,"Almadies, Dakar, Sénégal"
1727,3,2,100,"Sicap Liberté, Dakar, Sénégal"
1729,3,3,80,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1731,4,3,12,"Sicap Liberté, Dakar, Sénégal"
1732,2,1,12,"Dakar Plateau, Dakar, Sénégal"
1733,5,5,12,"Dakar Plateau, Dakar, Sénégal"
1734,2,1,130,"Ngor, Dakar, Sénégal"
1735,4,4,200,"Point E, Dakar, Sénégal"
1736,4,3,12,"Sicap Liberté, Dakar, Sénégal"
1737,3,2,150,"Dakar, Sénégal"
1738,3,2,1,"Sipres, Dakar, Sénégal"
1739,4,2,150,"Mbao, Dakar, Sénégal"
1740,4,3,200,"Almadies, Dakar, Sénégal"
1742,4,3,180,"Sacré-Coeur, Dakar, Sénégal"
1744,5,2,80,"Ouest Foire, Dakar, Sénégal"
1746,3,1,100,"Sicap Liberté, Dakar, Sénégal"
1748,3,3,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1749,5,5,12,"Point E, Dakar, Sénégal"
1750,4,3,12,"Sicap Liberté, Dakar, Sénégal"
1751,4,3,200,"Dakar Plateau, Dakar, Sénégal"
1753,5,5,200,"Yoff, Dakar, Sénégal"
1754,3,3,156,"Fann, Dakar, Sénégal"
1755,4,3,150,"Dakar, Sénégal"
1757,4,3,123,"Yoff, Dakar, Sénégal"
1758,4,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1759,4,3,12,"Sicap Liberté, Dakar, Sénégal"
1760,4,3,12,"Sicap Liberté, Dakar, Sénégal"
1761,23,12,150,"Parcelle Assainies, Dakar, Sénégal"
1762,3,2,88,"Dakar, Sénégal"
1763,3,2,100,"Sacré-Coeur, Dakar, Sénégal"
1765,4,3,180,"Almadies, Dakar, Sénégal"
1766,2,1,12,"Dakar Plateau, Dakar, Sénégal"
1767,3,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1768,4,2,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1770,2,1,150,"Ouest Foire, Dakar, Sénégal"
1771,4,2,150,"Sicap Liberté, Dakar, Sénégal"
1772,4,4,12,"Dakar Plateau, Dakar, Sénégal"
1773,3,3,167,"Yoff, Dakar, Sénégal"
1774,3,3,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1776,4,3,150,"Ouakam, Dakar, Sénégal"
1779,4,3,224,"Fann, Dakar, Sénégal"
1782,4,3,12,"Sicap Liberté, Dakar, Sénégal"
1783,3,2,75,"Mamelles, Dakar, Sénégal"
1784,2,1,40,"Almadies, Dakar, Sénégal"
1785,3,3,100,"Almadies, Dakar, Sénégal"
1786,3,2,150,"Almadies, Dakar, Sénégal"
1787,4,4,200,"Sicap Liberté, Dakar, Sénégal"
1793,4,3,150,"Rufisque, Sénégal"
1794,4,3,150,"Rufisque, Sénégal"
1795,4,3,110,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1796,2,2,65,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1797,2,2,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1798,4,2,1,"Ouakam, Dakar, Sénégal"
1800,3,2,150,"Sicap foire, Dakar, Sénégal"
1802,4,3,254,"Mamelles, Dakar, Sénégal"
1803,3,1,70,"Ouakam, Dakar, Sénégal"
1804,2,1,25,"Ziguinchor, Sénégal"
1808,4,3,135,"Almadies, Dakar, Sénégal"
1812,5,4,400,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1813,4,3,300,"Mamelles, Dakar, Sénégal"
1814,3,2,80,"Dakar Plateau, Dakar, Sénégal"
1815,4,4,180,"Almadies, Dakar, Sénégal"
1816,3,3,150,"Yoff, Dakar, Sénégal"
1817,2,3,150,"Almadies, Dakar, Sénégal"
1819,4,3,250,"Fann, Dakar, Sénégal"
1824,5,4,700,"Mermoz-Sacré Coeur, Dakar, Sénégal"
