web-scraper-order,web-scraper-start-url,articlelinks,articlelinks-href,superficie,prix,addresse,image_lien,image_lien-href
"1707657780-1","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 150 ha - Diamnadio","https://sn.coinafrique.com/annonce/terrains/terrain-150-ha-diamnadio-3694520","150 m2","Prix sur demande","Diamniadio, Sénégal","",""
"1707657782-2","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 400 ha - Diamnadio","https://sn.coinafrique.com/annonce/terrains/terrain-400-ha-diamnadio-3694548","40500 m2","1 822 500 000 CFA","Diamniadio, Sénégal","",""
"1707657785-3","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 150 m² - Yoff Hangar Des Pèlerins","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-yoff-hangar-des-pelerins-3653463","150","75 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1707657788-4","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 3320 m2  - Mbao","https://sn.coinafrique.com/annonce/terrains/vente-terrains-3320-m2-mbao-3656704","3320","500 000 000 CFA","Mbao, Dakar, Sénégal","",""
"1707657791-5","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-malicounda-3694832","300 m2","1 500 000 CFA","Rufisque, Sénégal","",""
"1707657794-6","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain - Somone","https://sn.coinafrique.com/annonce/terrains/vente-terrain-somone-3695199","1547 m2","90 000 000 CFA","Mbour, Sénégal","",""
"1707657797-7","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 600 m² - Toubab Dialao","https://sn.coinafrique.com/annonce/terrains/terrain-600-m-toubab-dialao-3695257","600","12 900 000 CFA","Toubab Dialao, Sénégal","",""
"1707657800-8","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-3695956","150","20 000 000 CFA","Rufisque, Sénégal","",""
"1707657802-9","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 1291m² -  Dakar","https://sn.coinafrique.com/annonce/terrains/vente-terrain-1291m-dakar-3696318","1291 m2","800 000 CFA","Sicap Liberté, Dakar, Sénégal","",""
"1707657805-10","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 550m² - Bentegner","https://sn.coinafrique.com/annonce/terrains/vente-terrain-550m-bentegner-3696365","550 m2","8 000 000 CFA","Ndiass, Sénégal","",""
"1707657808-11","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain - Lac Rose","https://sn.coinafrique.com/annonce/terrains/vente-terrain-lac-rose-3696381","150 m2","5 000 000 CFA","Dakar, Sénégal","",""
"1707657810-12","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain - Lac Rose","https://sn.coinafrique.com/annonce/terrains/vente-terrain-lac-rose-3696387","150 m2","5 000 000 CFA","Dakar, Sénégal","",""
"1707657814-13","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 150m² - Rufisque","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-rufisque-3696488","150","4 500 000 CFA","Rufisque, Sénégal","",""
"1707657816-14","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 230 m2 - Almadies Dakar recasement 2","https://sn.coinafrique.com/annonce/terrains/terrains-230-m2-almadies-dakar-recasement-2-3697095","230 m2","90 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657819-15","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain","https://sn.coinafrique.com/annonce/terrains/vente-terrain-3697127","150 m2","2 500 000 CFA","Guediawaye, Dakar, Sénégal","",""
"1707657823-16","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 225m² - Ndiass","https://sn.coinafrique.com/annonce/terrains/vente-terrain-225m-ndiass-3697136","225","1 000 000 CFA","Ndiass, Sénégal","",""
"1707657826-17","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 150m² - Tivaouane peulh","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-tivaouane-peulh-3697309","150 m2","3 000 000 CFA","Keur Massar, Sénégal","",""
"1707657829-18","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain - Thiès","https://sn.coinafrique.com/annonce/terrains/terrain-thies-3697325","300 m2","2 800 000 CFA","Dakar Plateau, Dakar, Sénégal","",""
"1707657832-19","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrains 1700 m² - Yoff","https://sn.coinafrique.com/annonce/terrains/vente-terrains-1700-m-yoff-3659535","1700","1 700 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1707657835-20","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 262 m² - Almadies","https://sn.coinafrique.com/annonce/terrains/terrain-262-m-almadies-3659554","262","135 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657838-21","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrains 150 m² - Lac Rose","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m-lac-rose-3659621","150","9 000 000 CFA","Lac rose, Sénégal","",""
"1707657842-22","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150  m² - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-rufisque-3697565","150","4 500 000 CFA","Rufisque, Sénégal","",""
"1707657844-23","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrain 200 m2  - VDN 3","https://sn.coinafrique.com/annonce/terrains/vente-terrain-200-m2-vdn-3-3660005","200","22 000 000 CFA","Dakar, Sénégal","",""
"1707657848-24","https://sn.coinafrique.com/categorie/terrains?page=50","Terain 225m² - Keur Moussa","https://sn.coinafrique.com/annonce/terrains/terain-225m-keur-moussa-3697930","225","2 600 000 CFA","Diamniadio, Sénégal","",""
"1707657851-25","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 250 m2 - Thiés","https://sn.coinafrique.com/annonce/terrains/vente-terrains-250-m2-thies-3698097","250","2 200 000 CFA","Thies, Sénégal","",""
"1707657854-26","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain - Nord Foire","https://sn.coinafrique.com/annonce/terrains/terrain-nord-foire-3663507","600 m2","280 000 000 CFA","Dakar, Sénégal","",""
"1707657858-27","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 1000 m² - Ngaparou","https://sn.coinafrique.com/annonce/terrains/terrains-1000-m-ngaparou-3698127","1000 m2","15 000 000 CFA","Saly, Sénégal","",""
"1707657861-28","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 340 m2 - Ouest Foire","https://sn.coinafrique.com/annonce/terrains/vente-terrains-340-m2-ouest-foire-3698301","340","120 000 000 CFA","Ouest Foire, Dakar, Sénégal","",""
"1707657865-29","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains m2 - Keur Massar","https://sn.coinafrique.com/annonce/terrains/vente-terrains-m2-keur-massar-3668748","150","15 000 000 CFA","Keur Massar, Sénégal","",""
"1707657868-30","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 150 m2 - Lac Rose","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m2-lac-rose-3668766","150","8 000 000 CFA","Lac rose, Sénégal","",""
"1707657871-31","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 150 m² - Kounoune","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-kounoune-3668802","150","5 000 000 CFA","Rufisque, Sénégal","",""
"1707657877-32","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m² - Tivaouane Peulh","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-tivaouane-peulh-3668820","150","5 000 000 CFA","Rufisque, Sénégal","",""
"1707657879-33","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Deni Birame Ndao","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-deni-birame-ndao-3698452","150","2 000 000 CFA","Lac rose, Sénégal","",""
"1707657882-34","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains   - Lac Rose","https://sn.coinafrique.com/annonce/terrains/terrains-lac-rose-3668836","150","4 000 000 CFA","Lac rose, Sénégal","",""
"1707657886-35","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 10000 m2 - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-10000-m2-rufisque-3698634","10500","70 000 CFA","Rufisque, Sénégal","",""
"1707657889-36","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-almadies-2-3659884","150","28 000 000 CFA","Almadies 2, Dakar, Sénégal","",""
"1707657892-37","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain - Mbeubeuss","https://sn.coinafrique.com/annonce/terrains/terrain-mbeubeuss-3699536","","2 900 000 CFA","Cambérène, Dakar, Sénégal","",""
"1707657895-38","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m²   - Dakar","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-dakar-3699757","150","7 500 000 CFA","Dakar, Sénégal","",""
"1707657898-39","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain - HLM Parcelles assainies","https://sn.coinafrique.com/annonce/terrains/terrain-hlm-parcelles-assainies-3685432","150 m2","50 000 000 CFA","Dakar, Sénégal","",""
"1707657902-40","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 500 m² - Nguekhokh","https://sn.coinafrique.com/annonce/terrains/terrains-500-m-nguekhokh-3699900","500","6 500 000 CFA","Mbour, Sénégal","",""
"1707657905-41","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 180 m² - Nguekokh","https://sn.coinafrique.com/annonce/terrains/terrains-180-m-nguekokh-3699933","180","3 250 000 CFA","Mbour, Sénégal","",""
"1707657908-42","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 150 m2 - Keur Ndiaye Lo","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-ndiaye-lo-3700026","150 m2","6 000 000 CFA","Rufisque, Sénégal","",""
"1707657911-43","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 269 m2 - Dakar","https://sn.coinafrique.com/annonce/terrains/terrain-269-m2-dakar-3700068","269 m2","158 000 000 CFA","Dakar, Sénégal","",""
"1707657913-44","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 600 m² - VDN Nord Foire","https://sn.coinafrique.com/annonce/terrains/vente-terrain-600-m-vdn-nord-foire-3665383","600 m2","280 000 000 CFA","Dakar, Sénégal","",""
"1707657917-45","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 1500 m² - Almadies","https://sn.coinafrique.com/annonce/terrains/terrain-1500-m-almadies-3700209","1500 m2","1 950 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657920-46","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-3700418","150","4 000 000 CFA","Rufisque, Sénégal","",""
"1707657922-47","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 269m² - Liberté 2","https://sn.coinafrique.com/annonce/terrains/vente-terrain-269m-liberte-2-3700538","269 m2","158 000 000 CFA","Sicap Liberté, Dakar, Sénégal","",""
"1707657925-48","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 150 m2 - Sébikotane","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m2-sebikotane-3701384","150","2 500 000 CFA","Thies, Sénégal","",""
"1707657929-49","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 185 m2 - Almadies 2","https://sn.coinafrique.com/annonce/terrains/terrains-185-m2-almadies-2-3701395","185","23 000 000 CFA","Almadies 2, Dakar, Sénégal","",""
"1707657933-50","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains - Diass","https://sn.coinafrique.com/annonce/terrains/terrains-diass-3701567","150","4 000 000 CFA","Diamniadio, Sénégal","",""
"1707657936-51","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Mbao","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-mbao-3701592","150","12 500 000 CFA","Mbao, Dakar, Sénégal","",""
"1707657939-52","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrain 200 m2 - Ngor Almadies","https://sn.coinafrique.com/annonce/terrains/vente-terrain-200-m2-ngor-almadies-3660516","200","107 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657942-53","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrain - Ngor Almadies","https://sn.coinafrique.com/annonce/terrains/vente-terrain-ngor-almadies-3660514","201","96 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657946-54","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains - Diass","https://sn.coinafrique.com/annonce/terrains/terrains-diass-3701681","","4 000 000 CFA","Lac rose, Sénégal","",""
"1707657950-55","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Niaga","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-niaga-3701692","150","9 900 000 CFA","Niaga, Sénégal","",""
"1707657953-56","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrain 1956 m2 - Corniche des Almadies","https://sn.coinafrique.com/annonce/terrains/vente-terrain-1956-m2-corniche-des-almadies-3660595","1956","1 500 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657955-57","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrain 200 m2 TF - Ngor Almadies","https://sn.coinafrique.com/annonce/terrains/vente-terrain-200-m2-tf-ngor-almadies-3660598","200","125 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657960-58","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 600 m² - Ngaparou","https://sn.coinafrique.com/annonce/terrains/terrain-600-m-ngaparou-3664197","600 m2","29 000 000 CFA","Ngaparou, Sénégal","",""
"1707657963-59","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 220 m² - Medina","https://sn.coinafrique.com/annonce/terrains/terrain-220-m-medina-3702794","220","140 000 000 CFA","Medina, Dakar, Sénégal","",""
"1707657969-60","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 200 m² - Nord Foire","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-nord-foire-3666157","200","85 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1707657972-61","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 225 m2 - Thiés","https://sn.coinafrique.com/annonce/terrains/terrains-225-m2-thies-3668533","225","350 000 CFA","Thies, Sénégal","",""
"1707657977-62","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Dakar","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-dakar-3668541","150","3 000 000 CFA","Dakar, Sénégal","",""
"1707657981-63","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains - Tivaoune Peulh","https://sn.coinafrique.com/annonce/terrains/terrains-tivaoune-peulh-3704502","150 m2","Prix sur demande","Dakar, Sénégal","",""
"1707657984-64","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 150 m2 - Rufisque","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m2-rufisque-3668856","150","Prix sur demande","Rufisque, Sénégal","",""
"1707657988-65","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Keur Ndiaye Lo","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-keur-ndiaye-lo-3704831","150","3 000 000 CFA","Rufisque, Sénégal","",""
"1707657992-66","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrain - Parcelles Assainies","https://sn.coinafrique.com/annonce/terrains/vente-terrain-parcelles-assainies-3704849","150 m2","40 000 000 CFA","Parcelle Assainies, Dakar, Sénégal","",""
"1707657997-67","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 200 m2 - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrains-200-m2-diamniadio-3704867","200","7 000 000 CFA","Diamniadio, Sénégal","",""
"1707658001-68","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 350 m² - Yoff","https://sn.coinafrique.com/annonce/terrains/vente-terrain-350-m-yoff-3664077","350","200 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1707658004-69","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 100000 m2 - Mbour","https://sn.coinafrique.com/annonce/terrains/terrains-100000-m2-mbour-3705532","100000","70 000 CFA","Mbour, Sénégal","",""
"1707658007-70","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-guediawaye-3705566","150","30 000 000 CFA","Guediawaye, Dakar, Sénégal","",""
"1707658010-71","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 2032m² à  Fann Résidence rue aimé césaire","https://sn.coinafrique.com/annonce/terrains/terrain-2032m-a-fann-residence-rue-aime-cesaire-3664873","2032","1 100 000 CFA","Fann, Dakar, Sénégal","",""
"1707658013-72","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-3705839","150","10 000 000 CFA","Rufisque, Sénégal","",""
"1707658016-73","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain","https://sn.coinafrique.com/annonce/terrains/terrain-3706236","500 m2","6 000 000 CFA","Thies, Sénégal","",""
"1707658019-74","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 1485 m² - Mermoz","https://sn.coinafrique.com/annonce/terrains/vente-terrain-1485-m-mermoz-3667859","1485 m2","2 000 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","",""
"1707658023-75","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrain 150 m²  - Rufisque","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-rufisque-3706421","150","10 000 000 CFA","Rufisque, Sénégal","",""
"1707658027-76","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrain 150 m² -Bambilor","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-bambilor-3706425","150 m2","800 000 CFA","Dakar, Sénégal","",""
"1707658031-77","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 150 m² - Déni Bireume Ndao","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-deni-bireume-ndao-3671618","150","1 000 000 CFA","Lac rose, Sénégal","",""
"1707658034-78","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 225 m² - Thies","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-thies-3671770","225","1 500 000 CFA","Thies, Sénégal","",""
"1707658037-79","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 269 m2 - Liberté 2","https://sn.coinafrique.com/annonce/terrains/terrain-269-m2-liberte-2-3706989","269 m2","157 000 000 CFA","Dakar, Sénégal","",""
"1707658043-80","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 300m² - Mbour","https://sn.coinafrique.com/annonce/terrains/terrain-300m-mbour-3707039","300","1 500 000 CFA","Mbour, Sénégal","",""
"1707658046-81","https://sn.coinafrique.com/categorie/terrains?page=50","Vente villa à démolir - Tivaoune Wolof","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-tivaoune-wolof-3707516","120 m2","22 000 000 CFA","Thies, Sénégal","",""
"1707658051-82","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m² - Gorom 2","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-gorom-2-3708025","150","3 500 000 CFA","Almadies 2, Dakar, Sénégal","",""
"1707658054-83","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 600 m2 - Thies","https://sn.coinafrique.com/annonce/terrains/vente-terrains-600-m2-thies-3673025","600","60 000 000 CFA","Thies, Sénégal","",""
"1707658058-84","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 150m²  - Rufisque Noflaye","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150m-rufisque-noflaye-3708331","150","6 000 000 CFA","Rufisque, Sénégal","",""
"1707658070-85","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150 m2 - Keur massar","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-massar-3708699","150 m2","9 000 000 CFA","Keur Massar, Sénégal","",""
"1707658073-86","https://sn.coinafrique.com/categorie/terrains?page=49","Terrains - Gapp","https://sn.coinafrique.com/annonce/terrains/terrains-gapp-3708838","","1 500 000 CFA","Ndiass, Sénégal","",""
"1707658077-87","https://sn.coinafrique.com/categorie/terrains?page=49","Terrains 2 ha - Nguérigne","https://sn.coinafrique.com/annonce/terrains/terrains-2-ha-nguerigne-3708993","20000","300 000 000 CFA","Ngaparou, Sénégal","",""
"1707658080-88","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 6 ha -  Nguérigne","https://sn.coinafrique.com/annonce/terrains/terrain-6-ha-nguerigne-3708997","60000","900 000 000 CFA","Ngaparou, Sénégal","",""
"1707658084-89","https://sn.coinafrique.com/categorie/terrains?page=49","Terrains -  Lac Rose","https://sn.coinafrique.com/annonce/terrains/terrains-lac-rose-3709520","150 m2","3 000 000 CFA","Dakar, Sénégal","",""
"1707658087-90","https://sn.coinafrique.com/categorie/terrains?page=49","Vente villa inachevée - Ouest Foire","https://sn.coinafrique.com/annonce/terrains/vente-villa-inachevee-ouest-foire-3709753","5","85 000 000 CFA","Ouest Foire, Dakar, Sénégal","",""
"1707658091-91","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150 m2 - Ngor Almadies","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-ngor-almadies-3709776","150 m2","110 000 000 CFA","Ngor, Dakar, Sénégal","",""
"1707658096-92","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150 m² - Almadies 2","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-almadies-2-3671876","150","35 000 000 CFA","Dakar, Sénégal","",""
"1707658100-93","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150 m² - Yoff","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-yoff-3671897","150","50 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1707658103-94","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain commercial 962 m² - Thiès","https://sn.coinafrique.com/annonce/terrains/terrain-commercial-962-m-thies-3668812","968","80 000 000 CFA","Thies, Sénégal","",""
"1707658107-95","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 5000 m² - Almadies","https://sn.coinafrique.com/annonce/terrains/terrain-5000-m-almadies-3710101","5000 m2","1 300 000 CFA","Mbour, Sénégal","",""
"1707658111-96","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 300 m² - Boudiouck saint louis","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-boudiouck-saint-louis-3710227","300 m2","3 000 000 CFA","Saint Louis, Sénégal","",""
"1707658115-97","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 400 m2 - Lebar Saint-Louis","https://sn.coinafrique.com/annonce/terrains/terrain-400-m2-lebar-saint-louis-3710290","400 m2","6 500 000 CFA","Saint Louis, Sénégal","",""
"1707658119-98","https://sn.coinafrique.com/categorie/terrains?page=49","Vente terrain 150m2 - Kounoune","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m2-kounoune-3674979","150","6 000 000 CFA","Rufisque, Sénégal","",""
"1707658123-99","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150 m² - Zac Mbao","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-zac-mbao-3710961","150 m2","25 000 000 CFA","Mbao, Dakar, Sénégal","",""
"1707658127-100","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 300 m² - Zac Mbao","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-zac-mbao-3710966","300 m2","50 000 000 CFA","Mbao, Dakar, Sénégal","",""
"1707658131-101","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain - Popenguine Thioupam","https://sn.coinafrique.com/annonce/terrains/terrain-popenguine-thioupam-3711112","300 m2","8 000 000 CFA","Mbour, Sénégal","",""
"1707658134-102","https://sn.coinafrique.com/categorie/terrains?page=49","Terrains 150 m2 - Bambilor","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-bambilor-3674990","150","4 500 000 CFA","Rufisque, Sénégal","",""
"1707658138-103","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 300 m2 - Campement Ngekhokh","https://sn.coinafrique.com/annonce/terrains/terrain-300-m2-campement-ngekhokh-3711976","300 m2","5 000 000 CFA","Mbour, Sénégal","",""
"1707658141-104","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 600m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-600m-malicounda-3712117","","6 000 000 CFA","Mbour, Sénégal","",""
"1707658144-105","https://sn.coinafrique.com/categorie/terrains?page=49","Terrains  225m² - Kiréne Diass et Sindia","https://sn.coinafrique.com/annonce/terrains/terrains-225m-kirene-diass-et-sindia-3712150","225 m2","2 500 000 CFA","Ndiass, Sénégal","",""
"1707658148-106","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 175 m² - Mamelles","https://sn.coinafrique.com/annonce/terrains/terrain-175-m-mamelles-3712362","175","95 000 000 CFA","Mamelles, Dakar, Sénégal","",""
"1707658152-107","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain - Keur Massar extension","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-extension-3712666","150 m2","12 500 000 CFA","Dakar, Sénégal","",""
"1707658156-108","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150 m² - Bambilor","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-bambilor-3671400","150","3 900 000 CFA","Rufisque, Sénégal","",""
"1707658159-109","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150m² - Keur Ndiaye Lo","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-ndiaye-lo-3712926","150","3 000 000 CFA","Rufisque, Sénégal","",""
"1707658161-110","https://sn.coinafrique.com/categorie/terrains?page=49","Parcelle 225 m² - Boukhou","https://sn.coinafrique.com/annonce/terrains/parcelle-225-m-boukhou-3713566","225 m2","1 800 000 CFA","Ndiass, Sénégal","",""
"1707658164-111","https://sn.coinafrique.com/categorie/terrains?page=49","Terrains - Sénégal","https://sn.coinafrique.com/annonce/terrains/terrains-senegal-3713569","150 m2","1 500 000 CFA","Ndiass, Sénégal","",""
"1707658167-112","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150m²  - Keur Ndiaye Lo","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-ndiaye-lo-3713866","150","8 500 000 CFA","Rufisque, Sénégal","",""
"1707658170-113","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 170 m² - Niarry Tally","https://sn.coinafrique.com/annonce/terrains/terrain-170-m-niarry-tally-3713986","","55 000 000 CFA","Grand Dakar, Dakar, Sénégal","",""
"1707658172-114","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 700 m2 - Niaga","https://sn.coinafrique.com/annonce/terrains/terrain-700-m2-niaga-3714020","700","70 000 000 CFA","Niaga, Sénégal","",""
"1707658177-115","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrain-rufisque-3714148","440 m2","65 000 000 CFA","Keur Massar, Sénégal","",""
"1707658181-116","https://sn.coinafrique.com/categorie/terrains?page=49","Terrains  - Sindia","https://sn.coinafrique.com/annonce/terrains/terrains-sindia-3714618","200 m2","1 500 000 CFA","Ndiass, Sénégal","",""
