,Nombres_de_pieces,nbrdeb,superficie,addresse
3142,8,5,200,"Dakar, Sénégal"
3143,4,2,150,"Mbao, Dakar, Sénégal"
3145,7,9,20,"Mamelles, Dakar, Sénégal"
3149,10,8,300,"Hann Bel-Air, Dakar, Sénégal"
3150,5,2,150,"Keur Massar, Sénégal"
3151,6,7,250,"Almadies, Dakar, Sénégal"
3152,5,4,200,"Mamelles, Dakar, Sénégal"
3153,5,5,350,"Almadies, Dakar, Sénégal"
3154,10,6,150,"Dakar, Sénégal"
3155,4,1,320,"Touba, Sénégal"
3156,5,1,150,"Keur Massar, Sénégal"
3158,6,4,256,"Saly, Sénégal"
3160,15,10,204,"Dakar, Sénégal"
3162,4,4,900,"Thies, Sénégal"
3163,13,5,425,"Ngor, Dakar, Sénégal"
3164,10,4,170,"Parcelle Assainies, Dakar, Sénégal"
3165,6,4,200,"Mamelles, Dakar, Sénégal"
3167,4,4,550,"Mbour, Sénégal"
3168,8,8,150,"Dakar, Sénégal"
3170,6,8,250,"Almadies, Dakar, Sénégal"
3173,8,7,500,"Almadies, Dakar, Sénégal"
3174,6,5,150,"Sipres, Dakar, Sénégal"
3176,7,4,350,"Mamelles, Dakar, Sénégal"
3178,5,5,180,"Ouest Foire, Dakar, Sénégal"
3179,5,5,180,"Almadies, Dakar, Sénégal"
3181,7,4,200,"Almadies, Dakar, Sénégal"
3182,4,3,150,"Keur Massar, Sénégal"
3184,5,2,300,"Thies, Sénégal"
3185,5,8,850,"Mermoz-Sacré Coeur, Dakar, Sénégal"
3186,7,9,500,"Almadies, Dakar, Sénégal"
3187,7,9,215,"Mamelles, Dakar, Sénégal"
3188,7,9,600,"Almadies, Dakar, Sénégal"
3189,4,2,200,"Keur Massar, Sénégal"
3190,7,4,200,"Almadies, Dakar, Sénégal"
3191,6,8,850,"Mermoz-Sacré Coeur, Dakar, Sénégal"
3192,6,8,417,"Ngor, Dakar, Sénégal"
3193,9,6,150,"Keur Massar, Sénégal"
3194,8,8,950,"Ngaparou, Sénégal"
3195,5,4,150,"Sacré-Coeur, Dakar, Sénégal"
3196,5,2,253,"Dieuppeul-Derklé, Dakar, Sénégal"
3198,6,6,400,"Mermoz-Sacré Coeur, Dakar, Sénégal"
3204,3,3,200,"Mbao, Dakar, Sénégal"
3206,5,3,300,"Saly, Sénégal"
3207,7,3,207,"Dakar, Sénégal"
3208,4,3,160,"Dakar, Sénégal"
3211,5,4,237,"Dakar, Sénégal"
3212,777,2275,150150,"Dakar, Sénégal"
3213,7,4,400,"Yoff, Dakar, Sénégal"
3214,4,1,235,"Fann, Dakar, Sénégal"
3215,1,1,380,"Dakar, Sénégal"
3216,6,5,500,"Yoff, Dakar, Sénégal"
3217,5,5,12,"Sacré-Coeur, Dakar, Sénégal"
3218,17,17,7500,"Mbour, Sénégal"
3220,4,3,600,"Saly, Sénégal"
3221,6,5,200,"Mariste, Dakar, Sénégal"
3222,7,4,450,"Thies, Sénégal"
3223,4,4,12,"Dakar Plateau, Dakar, Sénégal"
3224,6,5,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
3227,6,4,259,"Dakar, Sénégal"
3228,3,2,150,"Yoff, Dakar, Sénégal"
3229,5,4,150,"Mamelles, Dakar, Sénégal"
3230,5,4,237,"Sipres, Dakar, Sénégal"
3231,4,3,533,"Sicap Liberté, Dakar, Sénégal"
3233,7,4,700,"Mbour, Sénégal"
3234,3,2,300,"Mbour, Sénégal"
3237,6,3,200,"Ngor, Dakar, Sénégal"
3238,6,6,300,"Mermoz-Sacré Coeur, Dakar, Sénégal"
3239,6,5,500,"Yoff, Dakar, Sénégal"
3240,7,7,800,"Saly, Sénégal"
3241,6,5,450,"Djily MBaye, Dakar, Sénégal"
3242,6,5,450,"Djily MBaye, Dakar, Sénégal"
3243,4,3,500,"Dakar, Sénégal"
3244,6,7,1,"Almadies, Dakar, Sénégal"
3245,6,4,1000,"Saly, Sénégal"
3247,6,4,616,"Almadies, Dakar, Sénégal"
3249,5,3,300,"Saly, Sénégal"
3251,7,4,900,"Ngaparou, Sénégal"
3252,9,2,150,"Parcelle Assainies, Dakar, Sénégal"
3254,5,4,400,"Mbour, Sénégal"
3255,4,3,80,"Saly, Sénégal"
3256,4,3,150,"Guediawaye, Dakar, Sénégal"
3258,5,6,500,"Fann, Dakar, Sénégal"
3259,4,2,230,"Dakar, Sénégal"
3260,8,6,1000,"Almadies, Dakar, Sénégal"
3261,4,2,230,"Dakar, Sénégal"
3262,6,6,20,"Almadies, Dakar, Sénégal"
3263,5,4,200,"Mamelles, Dakar, Sénégal"
3264,9,8,150,"Dakar, Sénégal"
